ID,text,src,label
26739,smaller than in description.,rureviews,0
198426,Слева от меня Алексей Ильмухин. Путешественник и интересный человек. В числе его личных побед - путешествие на велосипеде от Челябинска до Байкала... Приехал к нам помочь в организации семинара Мухтара. Просто взял и приехал из Челябинска и начал помогать... ))👍 #можеткаждый,rusentiment,1
172615,"Ребёнок в садик отходил год, из них пол года просто на больничном. На вопрос почему детей не осматривает утром медсестра, ответ дали простой -она ж не врач!!! Зачем тогда она нужна в садике? Только пробы с пищи снимать? В группе грязно, игрушки не мылись ни разу! Если что-то надо -все родители! Элементарно, окна мыть должны тоже родители! Крик души! Накипело! Заведующая бездействует! Не раз приходили на разговор! Изменений не видим!!!
",geo,2
246532,Замерзла на -15,perekrestok,2
209852,"Как всегда, название не соответствует истинному переводу Duplicity - двуличность!

Это было первое что меня напрягло. Как то так стечением обстоятельств не смогла посмотреть фильм в кинотеатре, и в принципе много не потеряла. 

Киношка заранее интригует с первых минут фильма, но чем дальше в лес как говорится, тем жирнее партизане, и тем темнее кущи лесистые. Все заморочено на нет. Это же надо было высмеять, выставить в самом неподобающем свете американскую контрразведку. 

Фильм уже к середине начинает нереально напрягать своей занудливостью и заморочкой. Очень много слямзенных моментов. Вырвано кусками там и там, от начала до концовки. Если собрать фильм в кучу, как пазлы, то все понятно, но замудренность на то и есть чтобы заинтересовать зрителя. 

Клайв Оуэн вообще на высоте, умеет он играть шпионов, хороших дядей, потрясных влюбленных, и горячих любовников. Это его стихия.

Дж. Робертс разочаровала. Не являюсь фанаткой этой актрисы, и считаю ее очень зазвездившейся. Она уже стала немного сгибаться под тяжестью короны. И игра ее совсем не впечатлила. Но они очень хорошо вместе смотрятся.

Оценка 4 из 10 и то за Оуэна и за замысловатый сюжет!",kinopoisk,0
27996,"Очень долго,ну прям очень, две недели только обрабатывали заказ, больше месяца шла посылка. Юбка по себе хорошая, был запах, пропал. С размером угадала М.",rureviews,0
39836,"Очень понравились штинишки))) качество супер! рекомендую, не пожалеете! на рост 160 см об 92 взяла М подошли идеально))) с продавцом не общалась, не было нужды)))) но спасибо ему за маленький подарочек)))",rureviews,1
48753,"Футболка классная,качество отличное",rureviews,1
273666,"Достоинства:
Приятный для кожи,приятно пахнуший.

Недостатки:
Нету телок!

Классный запах.",perekrestok,1
46430,"Покупкой довольна! На рост 175см, ОГ 105см села хорошо. Длину водолазки хотелось бы чуть длиннее, а так все устраивает. Спасибо продавцу! УДАЧИ!",rureviews,1
133872,"Очередь большая, хотя всё по записи. А так всё хорошо, персонал приветливый, МРТ делают хорошо, но как я уже сказала - единственный минус это очередь
",geo,0
184019,"Давно нахожусь в поиске хорошей студии для маникюра и в этот раз выбор пал на Кисточки. \nЗаписал меня менеджер на маникюр 18 июня, но когда я пришла в салон после 20 минут ожидания мастера мне сказали, что мастер не сможет сделать маникюр, так как он не успевает, а у него ещё педикюр. \nНе понятно, как записывают менеджеры клиентов, если мастер не успевает.
",geo,2
146049,"Раньше был рынок как рынок, а сейчас совсем не то, мясо купить, это только накачаное водой  , если рыба то в основном если не просроченная то каша а не рыба, администрация смотрит на это сквозь пальцев, аренду платят и хорошо, а так хотелось бы чтоб наш рынок был как раньше, более душевней, для покупателя, а не как сейчас, превратили его в торговый центр, где души нет
",geo,0
283744,"Эффект замечательный, помогает даже в зимнее время!",perekrestok,1
